Alue;VP_A;VP_BC;VP_DEF;VP_GHUX;VP_JKLM;VP_NO;VP_P;VP_Q
Kerava;0.16706234063132;16.6095137606612;10.3578651191418;36.1206365954454;8.48500835311703;10.4018288929922;5.60098478853425;12.2571001494768
Keuruu;6.25154435384235;19.5947615517667;6.37509266123054;23.7459846800099;5.97973807758834;14.5045712873734;6.57276995305164;16.9755374351371
Kihniö;14.0604467805519;31.1432325886991;4.86202365308804;19.4480946123522;3.54796320630749;6.04467805519054;4.86202365308804;16.0315374507227
Kinnula;28.9930555555556;5.38194444444444;6.42361111111111;15.625;8.33333333333333;13.7152777777778;7.11805555555556;14.4097222222222
Kirkkonummi;1.35596347200443;14.5466285398026;7.12111428834978;32.8475232912093;8.36638686468038;15.2661193616825;5.9127386772438;14.5835255050272
Kitee;13.7518370774722;23.8715095528029;9.48981734201134;22.5908041150535;3.77913079991602;6.82343061095948;6.9284064665127;12.7650640352719
Kittilä;8.0804248861912;3.5660091047041;8.23216995447648;45.7132018209408;4.81790591805766;12.4051593323217;5.72837632776935;11.4567526555387
Kiuruvesi;25.8054226475279;11.7703349282297;5.45454545454545;23.0940988835726;4.11483253588517;5.1993620414673;6.53907496012759;18.0223285486443
Kivijärvi;21.7270194986072;3.62116991643454;4.45682451253482;30.08356545961;2.78551532033426;10.3064066852368;6.12813370473538;20.891364902507
Kokemäki;9.34903047091413;24.4806094182825;7.34072022160665;23.718836565097;4.39750692520776;6.50969529085873;8.27562326869806;15.9279778393352
Kokkola;4.72263868065967;17.5612193903048;8.30084957521239;27.3913043478261;7.59620189905047;8.7456271864068;7.91604197901049;17.7661169415292
Kolari;8.35492227979275;4.01554404145078;5.31088082901554;42.4870466321244;6.47668393782383;16.2564766839378;4.14507772020725;12.9533678756477
Konnevesi;22.0902612826603;10.4513064133017;3.91923990498812;25.41567695962;5.58194774346793;4.51306413301663;7.83847980997625;20.1900237529691
Kontiolahti;6.47309536494406;19.1795418220565;11.2147043153969;13.9850825785828;4.68833244539158;15.7165689930741;7.43207245604688;21.3106020245072
Korsnäs;24.7434435575827;12.2006841505131;6.27137970353478;23.1470923603193;5.13112884834664;5.81527936145952;10.6043329532497;12.0866590649943
Hämeenkoski;32.4324324324324;3.08880308880309;5.79150579150579;20.4633204633205;3.47490347490348;7.91505791505791;4.24710424710425;22.5868725868726
Koski;21.7750257997936;15.9958720330237;11.5583075335397;24.4582043343653;4.02476780185759;4.54076367389061;6.6047471620227;11.0423116615067
Kotka;0.707635009310987;20.3558866128699;7.09290295882475;32.8574384440306;7.51913925098283;9.82826401820815;5.52451893234016;16.1142147734326
Kouvola;4.40778948529817;18.1938544712308;10.1671539692172;25.8343906879241;7.55778672698185;13.0385612622055;5.52214928007944;15.2783141170629
Kruunupyy;16.8217855911755;32.3681489141675;5.65322302654257;17.9593243709066;6.82523267838676;3.5849706997587;3.55049982764564;13.2368148914168
Kuhmo;16.09375;10.2500001;3.750001;28.90625;5.1875;14.15625;5.2500001;15.78125
Kuhmoinen;16.497461928934;16.497461928934;5.83756345177665;25.1269035532995;7.48730964467005;5.96446700507614;4.82233502538071;17.7664974619289
Kumlinge;12.7906976744186;1.16279069767442;3.48837209302326;40.6976744186046;5.81395348837209;9.30232558139535;6.97674418604651;19.7674418604651
Kuopio;2.94048958620836;8.34801808878792;8.86817689645655;25.7298146536167;12.1377465446593;11.3394620071761;9.41593596738923;21.2203562557058
Kuortane;18.3716075156576;21.9902574808629;9.11621433542102;19.3458594293667;4.10577592205985;5.08002783576896;10.5080027835769;11.482254697286
Kurikka;10.6794362125045;30.8095410191543;7.28225514998193;21.2685218648356;4.24647632815323;6.3606794362125;6.39681966028189;12.956270328876
Kustavi;13.109756097561;28.3536585365854;10.6707317073171;19.5121951219512;5.79268292682927;9.14634146341463;3.35365853658537;10.0609756097561
Kuusamo;8.92638036809816;8.35889570552147;9.73926380368098;33.5889570552147;7.42331288343558;12.898773006135;5.65950920245399;13.4049079754601
Outokumpu;5.53987297106563;36.5561044460127;6.88073394495413;16.5137614678899;7.65702187720536;7.12773465067043;7.16302046577276;12.5617501764291
Kyyjärvi;17.97583081571;31.4199395770393;3.02114803625378;27.0392749244713;2.26586102719033;3.47432024169184;3.02114803625378;11.7824773413897
