Alue,M_A,M_BC,M_DEF,M_GHUX,M_JKLM,M_NO,M_P,M_Q
Haapavesi,-0.162974027768184,-1.0634684902489,0.948055536368032,-0.860920195252241,0.187582026662983,-0.145129630908798,0.753925767309065,0.342929013838043
Hailuoto,-5.43933054393306,-0.836820083682008,4.60251046025105,-2.51046025104602,0.836820083682008,1.67364016736402,-1.67364016736402,3.34728033472804
Halsua,-5.19789717715754,1.39242271933664,2.58812665034558,3.67224437379456,-0.829200956178365,-1.61992390974985,-0.0774369802463557,0.0716652798553241
Hamina,-0.461152526320028,-6.0596215831874,1.05764610549676,-4.37934934916863,1.22527528229541,2.11880745029365,1.18671527707377,5.31167934351648
Hammarland,-2.38469601677149,3.0398322851153,-4.36320754716981,-6.937893081761,1.00235849056604,-0.00655136268343792,-0.700995807127883,10.3511530398323
Hankasalmi,-2.08268943017637,-1.4076336252361,1.33796943606348,2.05031029999755,-0.627836240096156,1.19471631466627,0.826894301763681,-1.29173105698236
Hanko,-0.0371084129746532,-5.99870428962311,0.472749242933658,-0.112250462089285,0.247989654214257,1.53923309346177,0.372830115397216,3.51526105868014
Harjavalta,-0.203770532603285,-0.205783532925366,-0.0451095072175205,-1.53097824495652,1.16534418645507,0.204960032793605,-0.270931543349047,0.886269141803062
Hartola,-1.95761056007159,-4.91150719665896,0.912103810873294,2.28652397643374,-0.469058095309121,-0.420792005369528,0.345439630099187,4.21490044000298
Hattula,-1.47622729709625,0.240955501239448,-0.195669583110162,1.3700413722734,1.37310345447158,-1.87021098885137,2.576704210072,-2.01869666899866
Hausjärvi,-1.16009849902764,-6.35356655347699,3.16555303752309,1.31257226584995,0.0444164224894283,0.298684348334706,0.94855941518551,1.74387956312195
Heinävesi,-1.85464691063738,-5.57618441368475,1.64081588428095,2.5359590432592,-1.01492537313433,-0.688896714250887,0.347428014194002,4.61045046997318
Helsinki,0.0263133729312493,-1.57324464598935,-0.106794324879794,0.178057827079325,0.393820904884649,-0.568252960293144,0.380702819889952,1.26939700637712
Vantaa,-0.0727087238845612,-0.72493085163936,0.965063986375707,-0.98079309945971,0.307018862316371,0.0429557400161471,-0.0142663782157944,0.477660464491203
Hirvensalmi,-0.346756901634951,-1.4724604663629,0.294827124095418,1.97333154650228,-0.32497989815063,1.1374296435272,-0.708590190297508,-0.552800857678907
Hollola,-1.62112177797143,-6.2029733984098,0.565737997034628,3.83830807600734,-2.65964415063363,1.14537516945104,1.54800795956365,3.38631012495821
Honkajoki,-4.1669992019154,2.40750769581576,-1.39422528788052,4.59953255045035,-3.35395051875499,1.17261429711549,0.0919222437578382,0.643598221411469
